AÑO,CVE_GEO,ENTIDAD,HOMBRES,MUJERES,POBLACION,PIRAMIDE,CUM_DIFF,DELITOS,TOTAL_DELITOS,PERCEPCION,TASA_DELICTIVA,KPI_IIC,KPI_IIC_Color
2015,0,República Mexicana,59579638,62155178,121734816,"{'HOMBRES': [5748190, 5837521, 5820057, 5772464, 5634166, 5007049, 4226569, 3842628, 3736479, 3332399, 2840610, 2268314, 1717850, 1345608, 1007671, 684722, 425314, 332027], 'MUJERES': [5543337, 5655389, 5692796, 5660128, 5595657, 5175469, 4739481, 4442647, 4167185, 3614605, 3065020, 2464617, 1891079, 1501775, 1154010, 815433, 528049, 448501], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.086343,"{'Homicidios': 13666, 'Lesiones': 119595, 'Feminicidio': 352, 'Secuestros': 878, 'Violación': 8880, 'Robo a casa': 76542, 'Robo a vehículo': 134342, 'Robo a negocio': 67146, 'Extorsión': 4962, 'Violencia familiar': 109496, 'Narcomenudeo': 27112}",562971,73.2,462.5,41.2,2
2015,1,Aguascalientes,654661,678329,1332990,"{'HOMBRES': [68053, 68220, 68545, 68714, 65678, 55905, 45517, 40515, 38661, 33742, 28474, 22603, 16686, 12608, 9020, 5723, 3305, 2692], 'MUJERES': [65308, 65945, 67569, 66665, 63313, 56156, 50290, 47203, 44568, 38167, 31411, 24335, 17849, 13649, 10202, 6979, 4497, 4223], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.094859,"{'Homicidios': 33, 'Lesiones': 1890, 'Feminicidio': 0, 'Secuestros': 4, 'Violación': 76, 'Robo a casa': 2144, 'Robo a vehículo': 1677, 'Robo a negocio': 1208, 'Extorsión': 34, 'Violencia familiar': 414, 'Narcomenudeo': 521}",8001,43.2,600.2,57.8,3
2015,2,Baja California,1688929,1677852,3366781,"{'HOMBRES': [146954, 158024, 160305, 162490, 163940, 151026, 130118, 120133, 119054, 105068, 84684, 62543, 43410, 31213, 21962, 14165, 8189, 5651], 'MUJERES': [142821, 154212, 154565, 155289, 157402, 147870, 134785, 126602, 118861, 100167, 81209, 63259, 47183, 35422, 25077, 16320, 9592, 7216], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.082247,"{'Homicidios': 709, 'Lesiones': 9820, 'Feminicidio': 7, 'Secuestros': 10, 'Violación': 594, 'Robo a casa': 10896, 'Robo a vehículo': 12175, 'Robo a negocio': 4555, 'Extorsión': 178, 'Violencia familiar': 7458, 'Narcomenudeo': 0}",46402,53.2,1378.2,129.3,4
2015,3,Baja California Sur,367806,354293,722099,"{'HOMBRES': [32587, 33681, 32869, 33769, 35513, 34370, 31096, 28371, 26128, 21870, 17596, 13178, 9345, 7009, 5004, 2978, 1475, 967], 'MUJERES': [31649, 33276, 32357, 31533, 32074, 31308, 29827, 27984, 25277, 20785, 16871, 12871, 9160, 6942, 5237, 3476, 1985, 1681], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.08529,"{'Homicidios': 136, 'Lesiones': 1095, 'Feminicidio': 0, 'Secuestros': 0, 'Violación': 101, 'Robo a casa': 2118, 'Robo a vehículo': 982, 'Robo a negocio': 4, 'Extorsión': 42, 'Violencia familiar': 1402, 'Narcomenudeo': 457}",6337,61.8,877.6,78.5,3
2015,4,Campeche,451503,461588,913091,"{'HOMBRES': [43809, 43150, 41871, 42649, 44018, 40679, 34270, 30316, 28430, 24558, 20705, 16521, 12506, 9776, 7258, 4945, 3197, 2845], 'MUJERES': [42580, 42488, 41680, 42579, 44026, 41896, 37858, 33606, 29891, 25430, 21504, 17114, 12849, 9701, 6992, 4893, 3385, 3116], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.088083,"{'Homicidios': 37, 'Lesiones': 86, 'Feminicidio': 2, 'Secuestros': 5, 'Violación': 39, 'Robo a casa': 96, 'Robo a vehículo': 287, 'Robo a negocio': 55, 'Extorsión': 34, 'Violencia familiar': 15, 'Narcomenudeo': 49}",705,53.7,77.2,8.9,1
2015,5,Coahuila,1495170,1503237,2998407,"{'HOMBRES': [144391, 146289, 146107, 145371, 138679, 121097, 105282, 99521, 98047, 87252, 73654, 58017, 43273, 32933, 23604, 15555, 9545, 6553], 'MUJERES': [138481, 139959, 141087, 139226, 132166, 118187, 110778, 109603, 105753, 90638, 75309, 59771, 44756, 34580, 25898, 17652, 10985, 8408], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.089351,"{'Homicidios': 225, 'Lesiones': 4466, 'Feminicidio': 14, 'Secuestros': 20, 'Violación': 53, 'Robo a casa': 3184, 'Robo a vehículo': 1226, 'Robo a negocio': 2124, 'Extorsión': 35, 'Violencia familiar': 1877, 'Narcomenudeo': 1976}",15200,74.9,506.9,41.6,2
2015,6,Colima,358230,363089,721319,"{'HOMBRES': [32347, 34314, 33305, 33158, 34115, 31965, 27225, 24138, 22883, 20235, 17533, 14213, 10648, 8087, 5800, 3802, 2378, 2084], 'MUJERES': [30626, 31823, 31767, 32707, 34095, 32282, 29155, 26656, 24613, 21255, 18030, 14428, 10897, 8412, 6282, 4402, 2897, 2762], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.080584,"{'Homicidios': 142, 'Lesiones': 212, 'Feminicidio': 5, 'Secuestros': 5, 'Violación': 24, 'Robo a casa': 1198, 'Robo a vehículo': 739, 'Robo a negocio': 143, 'Extorsión': 12, 'Violencia familiar': 474, 'Narcomenudeo': 396}",3350,56.5,464.4,50.9,2
2015,7,Chiapas,2623895,2726998,5350893,"{'HOMBRES': [334457, 309269, 293852, 273295, 247949, 209329, 171210, 148656, 137351, 118991, 100476, 80075, 60995, 48117, 36468, 25044, 15354, 13007], 'MUJERES': [324496, 301850, 288293, 274074, 259021, 229641, 201017, 176669, 154737, 128148, 105237, 81785, 61409, 48818, 37578, 25525, 15352, 13348], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.118223,"{'Homicidios': 430, 'Lesiones': 625, 'Feminicidio': 34, 'Secuestros': 8, 'Violación': 565, 'Robo a casa': 1539, 'Robo a vehículo': 1728, 'Robo a negocio': 785, 'Extorsión': 192, 'Violencia familiar': 1094, 'Narcomenudeo': 567}",7567,54.6,141.4,15.7,1
2015,8,Chihuahua,1789712,1813947,3603659,"{'HOMBRES': [161633, 179017, 179058, 173699, 166645, 147929, 126090, 117717, 118577, 107166, 88993, 68136, 49978, 38676, 29013, 19374, 11176, 6835], 'MUJERES': [156499, 173785, 173532, 168552, 161970, 147186, 134560, 128778, 125055, 110207, 91477, 71043, 53361, 42307, 32522, 22010, 12626, 8477], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.084031,"{'Homicidios': 775, 'Lesiones': 3206, 'Feminicidio': 0, 'Secuestros': 5, 'Violación': 591, 'Robo a casa': 2539, 'Robo a vehículo': 3753, 'Robo a negocio': 1643, 'Extorsión': 10, 'Violencia familiar': 10532, 'Narcomenudeo': 2589}",25643,73.6,711.6,55.2,2
2015,9,Ciudad de México,4366091,4766410,9132501,"{'HOMBRES': [321538, 320100, 332133, 357471, 398091, 393807, 345134, 313334, 307490, 284101, 255874, 215280, 167000, 130334, 95245, 62329, 38007, 28823], 'MUJERES': [310314, 311015, 325781, 349880, 388868, 396102, 381001, 368805, 360301, 328559, 295296, 252440, 203263, 165538, 126844, 88719, 59378, 54306], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.060085,"{'Homicidios': 683, 'Lesiones': 5146, 'Feminicidio': 50, 'Secuestros': 48, 'Violación': 559, 'Robo a casa': 4726, 'Robo a vehículo': 10371, 'Robo a negocio': 12231, 'Extorsión': 533, 'Violencia familiar': 13863, 'Narcomenudeo': 1289}",49499,78.5,542.0,50.7,2
2015,10,Durango,879913,903263,1783176,"{'HOMBRES': [92552, 91389, 88756, 88047, 83994, 70923, 58113, 53492, 52722, 46945, 39771, 31597, 24175, 19558, 15295, 10801, 6813, 4970], 'MUJERES': [89512, 89308, 87160, 85767, 82199, 72311, 64414, 60577, 57210, 49865, 42443, 33949, 26027, 20914, 16416, 11873, 7596, 5722], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.096105,"{'Homicidios': 185, 'Lesiones': 2432, 'Feminicidio': 1, 'Secuestros': 6, 'Violación': 160, 'Robo a casa': 2263, 'Robo a vehículo': 1258, 'Robo a negocio': 921, 'Extorsión': 53, 'Violencia familiar': 3170, 'Narcomenudeo': 314}",10763,68.0,603.6,47.6,2
