anio,entidad,poblacion,delito_semaforo,incidentes,incidentes_per_10000_hab
2015,Aguascalientes,1332990,Extorsión,39,2.9257533814957353
2015,Aguascalientes,1332990,Feminicidio,0,0.0
2015,Aguascalientes,1332990,Homicidios,38,2.8507340640214855
2015,Aguascalientes,1332990,Lesiones,2289,171.71921769855737
2015,Aguascalientes,1332990,Narcomenudeo,614,46.061860929189265
2015,Aguascalientes,1332990,Robo a casa,2525,189.4237766224803
2015,Aguascalientes,1332990,Robo a negocio,1438,107.87777852797095
2015,Aguascalientes,1332990,Robo a vehículo,1995,149.663538361128
2015,Aguascalientes,1332990,Secuestros,5,0.37509658737124807
2015,Aguascalientes,1332990,Violación,84,6.301622667836968
2015,Aguascalientes,1332990,Violencia familiar,481,36.08429170511407
2016,Aguascalientes,1356195,Extorsión,70,5.161499636851633
2016,Aguascalientes,1356195,Feminicidio,0,0.0
2016,Aguascalientes,1356195,Homicidios,39,2.875692654817338
2016,Aguascalientes,1356195,Lesiones,1978,145.84923259560756
2016,Aguascalientes,1356195,Narcomenudeo,717,52.86850342318029
2016,Aguascalientes,1356195,Robo a casa,2459,181.31610867168806
2016,Aguascalientes,1356195,Robo a negocio,1404,103.52493557342417
2016,Aguascalientes,1356195,Robo a vehículo,3110,229.31805529440825
2016,Aguascalientes,1356195,Secuestros,2,0.14747141819576093
2016,Aguascalientes,1356195,Violación,99,7.299835200690167
2016,Aguascalientes,1356195,Violencia familiar,645,47.5595323681329
2017,Aguascalientes,1378531,Extorsión,121,8.777459484044973
2017,Aguascalientes,1378531,Feminicidio,0,0.0
2017,Aguascalientes,1378531,Homicidios,82,5.948360972658576
2017,Aguascalientes,1378531,Lesiones,3364,244.02788185394454
2017,Aguascalientes,1378531,Narcomenudeo,842,61.079511450957575
2017,Aguascalientes,1378531,Robo a casa,3327,241.343865317501
2017,Aguascalientes,1378531,Robo a negocio,1962,142.32541741897717
2017,Aguascalientes,1378531,Robo a vehículo,3624,262.8885385965205
2017,Aguascalientes,1378531,Secuestros,6,0.4352459248286763
2017,Aguascalientes,1378531,Violación,161,11.679098982902815
2017,Aguascalientes,1378531,Violencia familiar,1102,79.94016819353355
2018,Aguascalientes,1401308,Extorsión,138,9.847942065555895
2018,Aguascalientes,1401308,Feminicidio,4,0.2854475961030694
2018,Aguascalientes,1401308,Homicidios,75,5.352142426932551
2018,Aguascalientes,1401308,Lesiones,3957,282.3790344449614
2018,Aguascalientes,1401308,Narcomenudeo,1716,122.45701872821678
2018,Aguascalientes,1401308,Robo a casa,3355,239.41917123144947
2018,Aguascalientes,1401308,Robo a negocio,2525,180.18879504006256
2018,Aguascalientes,1401308,Robo a vehículo,3309,236.13652387626416
