fecha,entidad,delito_semaforo,incidentes
2015-01-01,Aguascalientes,Extorsión,2
2015-02-01,Aguascalientes,Extorsión,4
2015-03-01,Aguascalientes,Extorsión,1
2015-04-01,Aguascalientes,Extorsión,5
2015-05-01,Aguascalientes,Extorsión,7
2015-06-01,Aguascalientes,Extorsión,2
2015-07-01,Aguascalientes,Extorsión,1
2015-08-01,Aguascalientes,Extorsión,3
2015-09-01,Aguascalientes,Extorsión,2
2015-10-01,Aguascalientes,Extorsión,6
2015-11-01,Aguascalientes,Extorsión,4
2015-12-01,Aguascalientes,Extorsión,2
2015-01-01,Aguascalientes,Feminicidio,0
2015-02-01,Aguascalientes,Feminicidio,0
2015-03-01,Aguascalientes,Feminicidio,0
2015-04-01,Aguascalientes,Feminicidio,0
2015-05-01,Aguascalientes,Feminicidio,0
2015-06-01,Aguascalientes,Feminicidio,0
2015-07-01,Aguascalientes,Feminicidio,0
2015-08-01,Aguascalientes,Feminicidio,0
2015-09-01,Aguascalientes,Feminicidio,0
2015-10-01,Aguascalientes,Feminicidio,0
2015-11-01,Aguascalientes,Feminicidio,0
2015-12-01,Aguascalientes,Feminicidio,0
2015-01-01,Aguascalientes,Homicidios,6
2015-02-01,Aguascalientes,Homicidios,1
2015-03-01,Aguascalientes,Homicidios,4
2015-04-01,Aguascalientes,Homicidios,4
2015-05-01,Aguascalientes,Homicidios,4
2015-06-01,Aguascalientes,Homicidios,4
2015-07-01,Aguascalientes,Homicidios,2
2015-08-01,Aguascalientes,Homicidios,3
2015-09-01,Aguascalientes,Homicidios,4
2015-10-01,Aguascalientes,Homicidios,2
2015-11-01,Aguascalientes,Homicidios,2
2015-12-01,Aguascalientes,Homicidios,2
2015-01-01,Aguascalientes,Lesiones,172
2015-02-01,Aguascalientes,Lesiones,194
2015-03-01,Aguascalientes,Lesiones,205
2015-04-01,Aguascalientes,Lesiones,227
2015-05-01,Aguascalientes,Lesiones,210
2015-06-01,Aguascalientes,Lesiones,216
2015-07-01,Aguascalientes,Lesiones,201
2015-08-01,Aguascalientes,Lesiones,235
2015-09-01,Aguascalientes,Lesiones,173
2015-10-01,Aguascalientes,Lesiones,169
2015-11-01,Aguascalientes,Lesiones,144
2015-12-01,Aguascalientes,Lesiones,143
